/nfs/homedirs/gmik/lrgwn/.venv/lib/python3.11/site-packages/torch_geometric/data/dataset.py:115: UserWarning: The `pre_transform` argument differs from the one used in the pre-processed version of this dataset. If you want to make use of another pre-processing technique, pass `force_reload=True` explicitly to reload the dataset.
  self._process()
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from /nfs/homedirs/gmik/.netrc.
wandb: Currently logged in as: m-goloshchapov (m_goloshchapov) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run i5fz1nzb
wandb: Tracking run with wandb version 0.24.2
wandb: Run data is saved locally in /nfs/homedirs/gmik/lrgwn/wandb/run-20260305_142357-i5fz1nzb
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run daily-aardvark-10
wandb: ⭐️ View project at https://wandb.ai/m_goloshchapov/peptides-func
wandb: 🚀 View run at https://wandb.ai/m_goloshchapov/peptides-func/runs/i5fz1nzb
Epoch 148, train loss 0.0378, val loss 0.3888, val average_precision 0.6895
Epoch 149, train loss 0.0396, val loss 0.3747, val average_precision 0.6859
Epoch 150, train loss 0.0379, val loss 0.4111, val average_precision 0.6818
Epoch 151, train loss 0.0352, val loss 0.3972, val average_precision 0.6892
Epoch 152, train loss 0.0392, val loss 0.3816, val average_precision 0.6827
Epoch 153, train loss 0.0396, val loss 0.3841, val average_precision 0.6859
Epoch 154, train loss 0.0381, val loss 0.3788, val average_precision 0.6937
Epoch 155, train loss 0.0399, val loss 0.3906, val average_precision 0.6873
Epoch 156, train loss 0.0352, val loss 0.3913, val average_precision 0.6834
Epoch 157, train loss 0.0377, val loss 0.3856, val average_precision 0.6853
Epoch 158, train loss 0.0370, val loss 0.4172, val average_precision 0.6746
Epoch 159, train loss 0.0361, val loss 0.4305, val average_precision 0.6853
Epoch 160, train loss 0.0408, val loss 0.3777, val average_precision 0.6900
Epoch 161, train loss 0.0389, val loss 0.3844, val average_precision 0.6779
Epoch 162, train loss 0.0363, val loss 0.4073, val average_precision 0.6920
Epoch 163, train loss 0.0383, val loss 0.3885, val average_precision 0.6968
Epoch 164, train loss 0.0345, val loss 0.4098, val average_precision 0.6899
Epoch 165, train loss 0.0349, val loss 0.3995, val average_precision 0.6957
Epoch 166, train loss 0.0341, val loss 0.4197, val average_precision 0.6917
Epoch 167, train loss 0.0373, val loss 0.4070, val average_precision 0.6848
Epoch 168, train loss 0.0388, val loss 0.4113, val average_precision 0.6869
Epoch 169, train loss 0.0343, val loss 0.3940, val average_precision 0.6956
Epoch 170, train loss 0.0329, val loss 0.4060, val average_precision 0.6896
Epoch 171, train loss 0.0318, val loss 0.4011, val average_precision 0.6981
Epoch 172, train loss 0.0358, val loss 0.4013, val average_precision 0.6881
Epoch 173, train loss 0.0341, val loss 0.4055, val average_precision 0.6906
Epoch 174, train loss 0.0314, val loss 0.4013, val average_precision 0.6921
Epoch 175, train loss 0.0329, val loss 0.4294, val average_precision 0.6872
Epoch 176, train loss 0.0310, val loss 0.4384, val average_precision 0.6794
Epoch 177, train loss 0.0292, val loss 0.4354, val average_precision 0.6848
Epoch 178, train loss 0.0295, val loss 0.4296, val average_precision 0.6824
Epoch 179, train loss 0.0303, val loss 0.4434, val average_precision 0.6863
Epoch 180, train loss 0.0275, val loss 0.4634, val average_precision 0.6862
Epoch 181, train loss 0.0309, val loss 0.4584, val average_precision 0.6831
Epoch 182, train loss 0.0311, val loss 0.4424, val average_precision 0.6931
Epoch 183, train loss 0.0316, val loss 0.4393, val average_precision 0.6856
Epoch 184, train loss 0.0320, val loss 0.4224, val average_precision 0.6924
